epoch,val_mae,val_rmse,secs,cpu_percent,mem_mb,energy_j,bytes_sent_mb
1,0.431608,0.614177,0.879,28.80,6156.81,0.885578,0.000000
2,0.418873,0.595280,0.494,31.00,6136.39,0.535680,0.000000
3,0.413563,0.588991,0.472,28.70,6131.30,0.473764,0.000000
4,0.408625,0.584352,0.482,25.80,6100.03,0.435059,0.000000
5,0.404532,0.581465,0.473,20.90,5994.92,0.346028,0.000000
6,0.401823,0.578456,0.495,0.00,6168.62,0.000000,0.000000
7,0.397793,0.576096,0.469,23.60,6177.97,0.387434,0.000000
8,0.396381,0.573407,0.464,21.40,6170.55,0.347609,0.000000
9,0.394235,0.571061,0.466,20.40,6159.12,0.333047,0.000000
10,0.394203,0.569809,0.470,24.50,6086.92,0.402798,0.000000
11,0.392478,0.568416,0.462,22.10,6088.38,0.357394,0.000000
12,0.392458,0.567295,0.468,20.20,6186.53,0.330779,0.000000
13,0.392103,0.566725,0.472,20.70,6166.81,0.341862,0.000000
14,0.391085,0.566720,0.460,21.40,6162.70,0.344671,0.000000
15,0.390400,0.565850,0.464,20.30,6139.14,0.329661,0.000000
16,0.391533,0.565202,0.467,21.10,6077.23,0.344625,0.000000
17,0.391010,0.565269,0.453,20.90,6081.17,0.331038,0.000000
18,0.391460,0.564962,0.462,21.40,6084.44,0.345807,0.000000
19,0.390958,0.565412,0.462,20.50,6178.50,0.331227,0.000000
20,0.390931,0.564805,0.454,19.20,6189.67,0.305364,0.000000
